created_at,text,quote_count,reply_count,retweet_count,favorite_count,positive_sentiment
2020-10-25,"@arctechinc @Tesla Yes, very helpful. Thanks all beta testers!",29,197,107,3275,0.9712924361228943
2020-10-22,"Now that Tesla FSD beta is out in limited release, FSD price (new or upgrade) will go up by ~$2k on Monday",777,3349,2601,60274,0.06939289718866348
2020-10-22,@TeslaGong @PPathole @teslaownersSV @tesla_raj As soon as we complete testing &amp; regulators approve. So many differe… https://t.co/d4uoA1jnCX,29,156,150,2218,0.0031090457923710346
2020-10-22,@PPathole @teslaownersSV @tesla_raj Yes,6,51,34,811,0.027032608166337013
2020-10-22,@teslaownersSV @tesla_raj Haha,35,298,224,10256,0.15621228516101837
2020-10-21,@WholeMarsBlog Not intentional! We just wanted to show that you could theoretically convert the entire US vehicle f… https://t.co/PcZpbD8JJ6,203,544,1212,23946,0.004655911587178707
2020-10-17,"RT @Tesla: There's no place like home..especially if it has a Solar Roof.

This Kansas ranch got theirs installed in 4 days.",0,0,0,0,0.09621729701757431
2020-10-16,"RT @Tesmanian_com: Tesla Model 3 SR+ Has Lowest Energy Consumption of All BEVs, Says Report

https://t.co/7C0V16WT6Y",0,0,0,0,0.009454842656850815
2020-10-14,@gem8mingen @Tesla Congratulations!,9,73,61,2293,0.9982737302780151
2020-10-14,"@flcnhvy @WholeMarsBlog @Kristennetten @boringcompany @Tesla It’s still there, but focus is Vegas &amp; Prufrock, our new tunneling machine",6,82,67,1855,0.009958358481526375
2020-10-14,@AstroJordy @Kristennetten @boringcompany @Tesla For sure,5,53,42,1258,0.0012450667563825846
2020-10-14,@WholeMarsBlog @Kristennetten @boringcompany @Tesla Maybe a month or so. Some finishing touches need to be done on the stations.,17,62,68,1179,0.013158709742128849
2020-10-14,"@Kristennetten @boringcompany @Tesla We simplified this a lot. It’s basically just Teslas in tunnels at this point,… https://t.co/1xhs2AwXB9",438,646,267,6636,0.01087678037583828
2020-10-12,@jwangARK Tesla FSD computer’s dual SoCs function like twin engines on planes — they each run different neural nets… https://t.co/dFWLHXU7Ce,15,50,139,1498,0.004921706393361092
